X,Y,name,s201808,s201810
139.249206,36.94345398,103,2018-08-28,2018-10-10
139.2496869,36.942609,104,2018-08-28,2018-10-10
139.250238,36.94182395,105,2018-08-28,2018-10-10
139.250889,36.94107595,106,2018-08-28,2018-10-10
139.236092,36.93256396,107,2018-08-29,2018-10-10
139.235243,36.93313099,108,2018-08-29,2018-10-10
139.2343879,36.93370398,109,2018-08-29,2018-10-10
139.233589,36.93431192,110,2018-08-29,2018-10-10
139.2327879,36.93498599,111,2018-08-29,2018-10-10
139.231906,36.93554398,112,2018-08-29,2018-10-10
139.231029,36.936094,113,2018-08-29,2018-10-10
139.2302289,36.93671493,114,2018-08-29,2018-10-10
139.2296819,36.93750199,115,2018-08-29,2018-10-10
139.229371,36.93835099,116,2018-08-29,2018-10-10
139.2291239,36.93923495,117,2018-08-29,2018-10-10
139.2292379,36.94013793,118,2018-08-29,2018-10-10
139.228945,36.94100697,119,2018-08-29,2018-10-10
139.228781,36.94192495,120,2018-08-29,2018-10-10
139.2298959,36.94217197,121,2018-08-29,2018-10-10
139.23098,36.94239493,122,2018-08-29,2018-10-10
139.231961,36.94282098,123,2018-08-29,2018-10-10
139.232219,36.94284998,124,2018-08-29,2018-10-10
139.2331469,36.94290396,125,2018-08-29,2018-10-10
139.2342549,36.94295299,126,2018-08-29,2018-10-10
139.2353799,36.94296992,127,2018-08-29,2018-10-10
139.236503,36.94285694,128,2018-08-29,2018-10-10
139.237639,36.94290798,129,2018-08-29,2018-10-10
139.2285919,36.94158297,130,2018-08-29,2018-10-10
139.227818,36.94092893,131,2018-08-29,2018-10-10
139.227027,36.94027497,132,2018-08-29,2018-10-10
139.2264609,36.93950099,133,2018-08-29,2018-10-10
139.22585,36.93874897,134,2018-08-29,2018-10-10
139.225379,36.93795797,135,2018-08-29,2018-10-10
139.225118,36.93779795,136,2018-08-29,2018-10-10
139.2246199,36.93698499,137,2018-08-29,2018-10-10
139.2241579,36.93615393,138,2018-08-29,2018-10-10
139.223725,36.93532496,139,2018-08-29,2018-10-10
139.22316,36.934541,140,2018-08-29,2018-10-10
139.222455,36.93384094,141,2018-08-29,2018-10-10
139.2217569,36.93316293,142,2018-08-29,2018-10-10
139.221305,36.93300493,143,2018-08-29,2018-10-10
139.22148,36.93212399,144,2018-08-29,2018-10-10
139.221348,36.93122797,145,2018-08-29,2018-10-10
139.221187,36.93030294,146,2018-08-29,2018-10-10
139.2207489,36.929479,147,2018-08-29,2018-10-10
139.220373,36.92862094,148,2018-08-29,2018-10-10
139.2200619,36.92775694,149,2018-08-29,2018-10-10
139.2196019,36.92693593,150,2018-08-29,2018-10-10
139.2189129,36.92621995,151,2018-08-29,2018-10-10
139.218373,36.92540095,152,2018-08-29,2018-10-10
139.218125,36.92453099,153,2018-08-29,2018-10-10
139.1971549,36.91599696,154,2018-08-29,2018-10-09
139.196629,36.91682392,155,2018-08-29,2018-10-09
139.196425,36.91716196,156,2018-08-29,2018-10-09
139.195937,36.91799898,157,2018-08-29,2018-10-09
139.194876,36.91826896,158,2018-08-29,2018-10-09
139.1937849,36.91837692,159,2018-08-29,2018-10-09
139.192729,36.91802094,160,2018-08-29,2018-10-09
139.1928969,36.91712793,161,2018-08-29,2018-10-09
139.1934399,36.91633198,162,2018-08-29,2018-10-09
139.1937459,36.91611095,163,2018-08-29,2018-10-09
139.194353,36.91584097,164,2018-08-29,2018-10-09
139.1955009,36.91588699,165,2018-08-29,2018-10-09
139.196596,36.91597399,166,2018-08-29,2018-10-09
139.1967779,36.91600299,167,2018-08-29,2018-10-09
139.1949909,36.91698544,168,,2018-10-10
139.2376364,36.93118949,169,,2018-10-10
139.2382773,36.93042867,170,,2018-10-10
139.2388236,36.92959626,171,,2018-10-10
139.2394036,36.92883527,172,,2018-10-10
